area label,area,"Cumulative cases of COVID-19 by specimen date, total confirmed"
area label,area,13227.00
area label,area,Count
area label,area,raw
area label,area,44406.00
area label,area,daily_2021_07_29
Bath and North East Somerset,E06000022,12783.00
Bedford Borough,E06000055,17878.00
Blackburn with Darwen,E06000008,25445.00
Blackpool,E06000009,14577.00
"Bournemouth, Christchurch and Poole",E06000058,33917.00
Bracknell Forest,E06000036,9538.00
Brighton and Hove,E06000043,21922.00
Bristol,E06000023,46137.00
Buckinghamshire,E06000060,40769.00
Central Bedfordshire,E06000056,22137.00
Cheshire East,E06000049,29337.00
Cheshire West and Chester,E06000050,29632.00
Cornwall,E06000052,23560.00
Darlington,E06000005,11290.00
Derby,E06000015,24194.00
Dorset,E06000059,16125.00
Durham,E06000047,57516.00
East Riding of Yorkshire,E06000011,25616.00
Halton,E06000006,14700.00
Hartlepool,E06000001,12543.00
Herefordshire,E06000019,8974.00
Isle of Wight,E06000046,7988.00
Isles of Scilly,E06000053,Not Applicable
Kingston upon Hull,E06000010,25799.00
Leicester,E06000016,44325.00
Luton,E06000032,24923.00
Medway,E06000035,30371.00
Middlesbrough,E06000002,18618.00
Milton Keynes,E06000042,25150.00
North East Lincolnshire,E06000012,15607.00
North Lincolnshire,E06000013,12431.00
North Northamptonshire,E06000061,27015.00
North Somerset,E06000024,14551.00
Northumberland,E06000057,26738.00
Nottingham,E06000018,39921.00
Peterborough,E06000031,18392.00
Plymouth,E06000026,16193.00
Portsmouth,E06000044,18504.00
Reading,E06000038,14207.00
Redcar and Cleveland,E06000003,15251.00
Rutland,E06000017,2227.00
Shropshire,E06000051,19278.00
Slough,E06000039,17659.00
South Gloucestershire,E06000025,23119.00
Southampton,E06000045,20533.00
Southend-on-Sea,E06000033,18070.00
Stockton-on-Tees,E06000004,23124.00
Stoke-on-Trent,E06000021,26182.00
Swindon,E06000030,15254.00
Telford and Wrekin,E06000020,14612.00
Thurrock,E06000034,20341.00
Torbay,E06000027,7304.00
Warrington,E06000007,23821.00
West Berkshire,E06000037,8539.00
West Northamptonshire,E06000062,33445.00
Wiltshire,E06000054,24724.00
Windsor and Maidenhead,E06000040,10762.00
Wokingham,E06000041,11022.00
York,E06000014,17242.00
England,E92000001,5090505.00
