area label,area,IMD: Overall - score
area label,area,3902.00
area label,area,Score
area label,area,raw
area label,area,2019.00
area label,area,cal_2019
Bath and North East Somerset,E06000022,11.75
Bedford Borough,E06000055,18.93
Blackburn with Darwen,E06000008,36.01
Blackpool,E06000009,45.04
"Bournemouth, Christchurch and Poole",E06000058,18.17
Bracknell Forest,E06000036,10.24
Brighton and Hove,E06000043,20.76
Bristol,E06000023,26.36
Buckinghamshire,E06000060,10.05
Central Bedfordshire,E06000056,12.15
Cheshire East,E06000049,14.48
Cheshire West and Chester,E06000050,18.08
Cornwall,E06000052,23.07
Darlington,E06000005,25.66
Derby,E06000015,26.32
Dorset,E06000059,15.74
Durham,E06000047,26.79
East Riding of Yorkshire,E06000011,15.61
Halton,E06000006,32.33
Hartlepool,E06000001,35.04
Herefordshire,E06000019,18.89
Isle of Wight,E06000046,23.29
Isles of Scilly,E06000053,12.01
Kingston upon Hull,E06000010,40.56
Leicester,E06000016,30.88
Luton,E06000032,25.91
Medway,E06000035,23.94
Middlesbrough,E06000002,40.46
Milton Keynes,E06000042,17.98
North East Lincolnshire,E06000012,31.34
North Lincolnshire,E06000013,22.10
North Northamptonshire,E06000061,19.66
North Somerset,E06000024,15.83
Northumberland,E06000057,22.08
Nottingham,E06000018,34.89
Peterborough,E06000031,27.82
Plymouth,E06000026,26.62
Portsmouth,E06000044,26.90
Reading,E06000038,19.62
Redcar and Cleveland,E06000003,29.79
Rutland,E06000017,8.38
Shropshire,E06000051,17.15
Slough,E06000039,22.97
South Gloucestershire,E06000025,11.66
Southampton,E06000045,26.88
Southend-on-Sea,E06000033,22.38
Stockton-on-Tees,E06000004,25.79
Stoke-on-Trent,E06000021,34.50
Swindon,E06000030,18.62
Telford and Wrekin,E06000020,24.99
Thurrock,E06000034,20.93
Torbay,E06000027,28.10
Warrington,E06000007,18.94
West Berkshire,E06000037,9.95
West Northamptonshire,E06000062,17.71
Wiltshire,E06000054,13.45
Windsor and Maidenhead,E06000040,8.38
Wokingham,E06000041,5.85
York,E06000014,11.73
England,E92000001,no value
