area label,area,Cumulative no. residents who have received one dose of a COVID-19 vaccine
area label,area,14814.00
area label,area,Count
area label,area,raw
area label,area,Week end 25/07/2021
area label,area,weekly_2021_07_25
Bath and North East Somerset,E06000022,138915.00
Bedford Borough,E06000055,121324.00
Blackburn with Darwen,E06000008,94845.00
Blackpool,E06000009,99018.00
"Bournemouth, Christchurch and Poole",E06000058,281368.00
Bracknell Forest,E06000036,86411.00
Brighton and Hove,E06000043,197728.00
Bristol,E06000023,318722.00
Buckinghamshire,E06000060,385981.00
Central Bedfordshire,E06000056,204841.00
Cheshire East,E06000049,291622.00
Cheshire West and Chester,E06000050,258524.00
Cornwall,E06000052,422585.00
Darlington,E06000005,76143.00
Derby,E06000015,171169.00
Dorset,E06000059,295597.00
Durham,E06000047,381821.00
East Riding of Yorkshire,E06000011,261293.00
Halton,E06000006,87697.00
Hartlepool,E06000001,63606.00
Herefordshire,E06000019,141368.00
Isle of Wight,E06000046,105410.00
Isles of Scilly,E06000053,1674.00
Kingston upon Hull,E06000010,170045.00
Leicester,E06000016,221067.00
Luton,E06000032,123477.00
Medway,E06000035,181684.00
Middlesbrough,E06000002,93431.00
Milton Keynes,E06000042,184144.00
North East Lincolnshire,E06000012,108115.00
North Lincolnshire,E06000013,120593.00
North Northamptonshire,E06000061,237727.00
North Somerset,E06000024,162409.00
Northumberland,E06000057,245467.00
Nottingham,E06000018,190913.00
Peterborough,E06000031,129710.00
Plymouth,E06000026,187720.00
Portsmouth,E06000044,144101.00
Reading,E06000038,111795.00
Redcar and Cleveland,E06000003,97767.00
Rutland,E06000017,31139.00
Shropshire,E06000051,241577.00
Slough,E06000039,91301.00
South Gloucestershire,E06000025,211384.00
Southampton,E06000045,160171.00
Southend-on-Sea,E06000033,121788.00
Stockton-on-Tees,E06000004,135853.00
Stoke-on-Trent,E06000021,170042.00
Swindon,E06000030,161058.00
Telford and Wrekin,E06000020,122438.00
Thurrock,E06000034,103280.00
Torbay,E06000027,101829.00
Warrington,E06000007,149238.00
West Berkshire,E06000037,117931.00
West Northamptonshire,E06000062,283185.00
Wiltshire,E06000054,379677.00
Windsor and Maidenhead,E06000040,110032.00
Wokingham,E06000041,125899.00
York,E06000014,147463.00
England,E92000001,38889840.00
