area label,area,"Cumulative cases of COVID-19 by specimen date, total confirmed"
area label,area,13227.00
area label,area,Count
area label,area,raw
area label,area,44392.00
area label,area,daily_2021_07_15
Bath and North East Somerset,E06000022,10921.00
Bedford Borough,E06000055,16575.00
Blackburn with Darwen,E06000008,24538.00
Blackpool,E06000009,12673.00
"Bournemouth, Christchurch and Poole",E06000058,29852.00
Bracknell Forest,E06000036,8563.00
Brighton and Hove,E06000043,19454.00
Bristol,E06000023,40438.00
Buckinghamshire,E06000060,37245.00
Central Bedfordshire,E06000056,19719.00
Cheshire East,E06000049,26597.00
Cheshire West and Chester,E06000050,27222.00
Cornwall,E06000052,19803.00
Darlington,E06000005,9921.00
Derby,E06000015,22565.00
Dorset,E06000059,14005.00
Durham,E06000047,52051.00
East Riding of Yorkshire,E06000011,22420.00
Halton,E06000006,13797.00
Hartlepool,E06000001,11278.00
Herefordshire,E06000019,8094.00
Isle of Wight,E06000046,7294.00
Isles of Scilly,E06000053,Not Applicable
Kingston upon Hull,E06000010,22785.00
Leicester,E06000016,41633.00
Luton,E06000032,23540.00
Medway,E06000035,28262.00
Middlesbrough,E06000002,16071.00
Milton Keynes,E06000042,23188.00
North East Lincolnshire,E06000012,13346.00
North Lincolnshire,E06000013,11252.00
North Northamptonshire,E06000061,24333.00
North Somerset,E06000024,12763.00
Northumberland,E06000057,23846.00
Nottingham,E06000018,36765.00
Peterborough,E06000031,17162.00
Plymouth,E06000026,12758.00
Portsmouth,E06000044,16681.00
Reading,E06000038,13186.00
Redcar and Cleveland,E06000003,12747.00
Rutland,E06000017,1984.00
Shropshire,E06000051,17620.00
Slough,E06000039,16896.00
South Gloucestershire,E06000025,19580.00
Southampton,E06000045,18021.00
Southend-on-Sea,E06000033,16532.00
Stockton-on-Tees,E06000004,19973.00
Stoke-on-Trent,E06000021,24219.00
Swindon,E06000030,13466.00
Telford and Wrekin,E06000020,13186.00
Thurrock,E06000034,19099.00
Torbay,E06000027,5822.00
Warrington,E06000007,21903.00
West Berkshire,E06000037,7596.00
West Northamptonshire,E06000062,30525.00
Wiltshire,E06000054,21362.00
Windsor and Maidenhead,E06000040,9803.00
Wokingham,E06000041,9897.00
York,E06000014,15856.00
England,E92000001,4640922.00
